company_id,company_name,sales,net_profit,eps,roe,debt_to_equity
IOC,"Indian Oil Corporation
",841756,43161,30.0,23.53,1.4225
IRCTC,Indian Railway Catering & Tourism Corporation Ltd,4455,1200,19.0,40.6,0.0561
IRFC,Indian Railway Finance Corporation Ltd,26902,6537,222.0,14.85,9.6213
ITC,"ITC Ltd
",75135,20829,16.0,33.27,0.0089
JINDALSTEL,Jindal Steel & Power Ltd,53212,6766,58.0,18.99,2.1624
JIOFIN,Jio Financial Services Ltd,1968,1607,3.0,1.15,0.0065
JSWENERGY,JSW Energy Ltd,11486,1988,11.0,18.06,1.6726
JSWSTEEL,JSW Steel Ltd,175006,20938,85.0,31.11,2.2252
KOTAKBANK,"Kotak Mahindra Bank Ltd
",64053,22530,113.0,14.66,5.6043
LICI,Life Insurance Corporation of India,896106,41468,66.0,324.32,332.5938
LODHA,Macrotech Developers Ltd,13574,2511,25.0,42.8,6.6756
LT,Larsen & Toubro Ltd,238881,16150,98.0,395.15,0.1748
LTIM,LTIMindtree Ltd,37129,4585,309.0,61.86000000000001,0.1748
M&M,"Mahindra & Mahindra Ltd
",145893,13009,95.0,22.11,2.0539
MARUTI,Maruti Suzuki India Ltd,145213,14021,446.0,20.26,0.0932
MOTHERSON,Samvardhana Motherson International Ltd,109382,4123,6.0,40.35,2.1424
NAUKRI,Info Edge (India) Ltd,2662,12882,991.0,74.71,0.0351
NESTLEIND,Nestle India Ltd,24394,3933,41.0,121.96,0.5021
NHPC,"NHPC Ltd
",10607,4261,4.0,11.99,0.8413
NTPC,NTPC Ltd,185892,22546,23.0,15.49,1.708
ONGC,Oil & Natural Gas Corpn Ltd,658694,57101,39.0,19.0,0.6313
PFC,Power Finance Corporation Ltd,98152,28248,64.0,26.82,12.0761
PIDILITIND,Pidilite Industries Ltd,12901,1973,38.0,30.59,0.0672
PNB,Punjab National Bank,116126,14535,28.0,812.3,12.1221
POWERGRID,Power Grid Corporation of India Ltd,45843,16824,18.0,22.07,2.6222
RECLTD,REC Ltd,51490,14885,57.0,22.79,8.0879
RELIANCE,"Reliance Industries Ltd
",939838,79941,51.0,12.9,0.8409
SBILIFE,SBI Life Insurance Company Ltd,131988,2411,24.0,23.03,0.0
SBIN,State Bank of India,469625,74461,80.0,,
SHREECEM,Shree Cement Ltd,20521,2369,664.0,26.12,0.3825
SHRIRAMFIN,"Shriram Finance Ltd
",39864,9454,50.0,19.94,5.9993
SIEMENS,Siemens Ltd,22240,2914,82.0,42.83,0.0182
SUNPHARMA,Sun Pharmaceuticals Industries Ltd,50308,11117,46.0,23.14,0.3509
TATACONSUM,Tata Consumer Products Ltd,16297,1320,12.0,9.25,0.2888
TATAMOTORS,Tata Motors Ltd,440061,33816,99.0,37.46,3.2865
TATAPOWER,"Tata Power Company Ltd
",63489,4403,12.0,15.92,3.6942
TATASTEEL,"Tata Steel Ltd
",243959,41749,33.0,36.48,2.5743
TCS,Tata Consultancy Services Ltd,252082,49006,135.0,50.94,0.0972
TECHM,Tech Mahindra Ltd,53290,5630,57.0,33.35,0.2543
TITAN,"Titan Company Ltd
",54458,3496,39.0,37.22,1.6531
TORNTPHARM,Torrent Pharmaceuticals Ltd,11302,1862,55.0,49.6,1.3978
TRENT,Trent Ltd,15025,1809,51.0,36.31,1.9987
TVSMOTOR,TVS Motor Company Ltd,42886,2094,42.0,26.22,4.0647
